,类方体质,体感,身形,面色,皮肤,肤色,纹理,肌肉,肌表,上腹,下腹,腹部,腹肌,唇,目,舌体,舌色,舌面,舌苔,舌质,脉搏,胸背,胸肋,脚,四肢,大便,小便,经血,经色,心,血,唾液,胃,浮肿,,汗,寒冷,温热,发热,疼痛,恶风,恶寒,伤风,肌挛,便秘,睡眠,多梦,寒热往来,泌尿,关节,饮食,过敏,肩颈,鼻塞,打喷嚏,月经,头,手足,咳喘,感冒,流清涕,浮肿,呕吐,溃疡,耳鸣,幻觉,疲劳,头痛,精神,血压,有痰,口腔
,麻杏石甘汤方证,,,,,,,,,,,,,,,,,,苔薄腻干,,数滑,闷,,,,,,,,,,,,,,,,,易,,,,,,,,,,,肿痛,,,,,,,,,易,,,,,,,,,,,,,
,越婢加术汤方证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多,,,易,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,阳和汤方证,,瘦,,苍白,,,,,,,,,,,,,,,淡嫩,沉迟细,,,,,,清长,,,,,,,,,,畏,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王伟国,柴胡证,,,,,,,,,,,,,,,,,,,,,,苦满,,,,,,,,,,,,,,,,,,,,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,
,柴胡体质,,瘦,暗黄,,,干燥,硬,,痞痛,,,,,,老,暗紫,,紫,,,,,,,,,有块,暗,,,,,,,,,,,,,,,易,,,,,,,香,,酸,,,不调,,冷,,,,,,,,,,,,,,
,小柴胡汤方证,,,,,,,,,,,,,,,,,腻,黄白,,,,满,,,,,,,,,,,,,,,,持续,,,,,,,,,易,,,,,,,,,,,,,,,常,,,,,,,,,
,柴胡桂枝汤方证,,,,,,,,,,,痛,,,,,暗红,,薄白,,,,满,,,,,,,,,,,,,自汗,,,,,,,,易,,,,,,痛,,,,易,,,,,,,,,常,,,,,,,,,
,柴胡桂枝干姜汤方证,,,,,,,,,,,,,,,,,干,厚白,,,,满,,,溏软,,,,烦,,,,,,自汗,,,,,,,,,,,易,易,,,食欲不振,,,,,,,,易,,,,,,易,,,,,,,
,柴胡加龙骨牡蛎汤方证,,,,,,,,,,,悸动,,,,,红,厚腻,黄,,,,,,,,,,,,,,,,,,,,,,,,,,,失眠,,,,,,,,,,,,,,,,,,,,易,,,,,,
,四逆散方证,,,,,,,,,,,胀、疼痛,,,,,紫,,,坚老硬,,,,,,,,,,,,,,,,,,,,敏感,,,,,,,,,,,,,,,,,,冷,,,,,,,,,,,紧张,,,
,血府逐瘀汤方证,,,,,,,,,,,,,,,,暗紫,晦暗,,,,,,,,,,,,,紫黑易凝,,,,,,,,,敏感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,烦躁,,,
,逍遥散方证,,,,,,,,,,,胀,,,,,淡红,,薄白,,,,满、痛,,,,,不调,,,,,,有,,,,,,,,,,,,,,,,,食欲不振,,,,,,痛,,,,,,,,,,,易,,,,
,大柴胡汤方证,,,,,,,,,胀痛,,,,,,,,,黄厚,坚老,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黄,,,,宽,,,,,,,,,,有,,,,,,紧张,,,
,大黄证,,壮,,,,,,,,,满、痛,,,,,红,,焦黄,坚老,,,,,,,,,,,,,,,,有汗,,,有,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,烦躁,,,
,大黄体质,,壮实,红光,,,,坚紧,,,,痛,,,,,暗红,,厚干,,,闷,,,,,,,,,,粘稠,,,,,喜,畏,,,,,,,,,,,,,旺盛,,,,,,昏,,,,,,,,,,,,,,,
,大承气方证,,,,,,,,,,,疼,,,,,,,,焦干,有力,,,,,,,,,,粘稠,,,,,有汗,,,,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,烦躁,,,
,桃核承气汤方证,,,,,,,,,,急痛,,,,,,,暗红,燥,,,,,,,,,,,,紫黑易凝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不安,,,
,大黄庶(按)虫丸方证,,消瘦,晦暗,干燥,,,,,,胀满,,,,,,暗紫,,,,细涩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,茵陈蒿汤方证,,,  ,,,,,,,,,,,,,,,,,,闷,,,,,,,,,,,,,,有,,,,,,,,,,,,,黄短,,,,,,,,,,,,,,,,,,,,,,,
,防风通圣散方证,,,,,,,,,,,胀,,,赤肿,,,后,干腻,,,闷,,,,,,,,,,,,,,无,,,有,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大黄附子汤方证,,,晦,,,,,,,,剧烈疼痛,,,,,,干,白腻,老,,,,,,,,,,,,,,,,有,,,,,,,,,易,,,,,,,,,,,,,冷,,,,,,,,,,,不佳,,,
马帅奇,黄芪证及黄芪体质,重,,黄白泛红,,黄暗,,松弛,乏泽,,,软,,,暗淡,胖,淡,润,,,,,,,,稀 或 干后溏,,,,,,,,,,自汗,敏感,,,,易,,,,,,,,不畅,,食欲不振,易,,易,,,,麻木,易,,,易，多足,,难恢复，浓水稀,,,,,,,,
,玉屏风散方证,,,,,,,,,,,,,,,,,,,,,,,,,溏,,,,,,,,,,自汗,,,,,易,,,,,,,,不畅,,,,,,,,,,易,易,,易,,,,,,,,,,
,防己黄芪汤方证,,,,,,,疼痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,多汗,,,,,易,,,,,,,,少,疼痛,,,,,,,,,,,,下肢严重,,,,,,,,,,
,黄芪桂枝五物汤方证,,,,,,,无力、萎缩、酸痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,自汗,,,,,易,,,,,,,,,,,,,,,,,僵硬、麻木,,,,淡,,,,,,,,,,
,黄芪建中汤方证,重,,,,,,,,,,慢性疼痛、喜温,,,,,暗淡,,,,虚大,,,,,,,,,,,,,,,自汗,敏感,,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,补中益气汤方证,,昔肥今瘦,萎黄,,,,,,,,,,,,,淡,,,嫩,,,微满,,,腹泻,,,,,,,,,,自汗,,,易,,易,,,,,,,,良好,,,,,,,,,,,,,易,,,,,易感,,,,,
,补阳还五汤方证,痛,,,,,,,,,,,,,,胖,暗紫,,,淡,沉缓细涩,,,,,,,,,,,,,,,自汗,,,,,易,,,,,,,,,,,,,,,,,不遂、麻木,,,,下肢严重,,,,,,,,,,
,石膏证,渴,,,,,,,,,,,,,,,,干燥,,,洪大、浮且滑,,,,,,,,,,,,,,,多汗,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,白虎汤方证,强烈渴感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高热,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不清,,,
,白虎加人参汤方证,强烈渴感,,,,,,,,,,,,,,,,,,,无力,,,,,,,,,,,,,,,发汗 或 无,,,高热 或 无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不清，萎靡,,,
,白虎加桂枝汤方证,渴,,,,,,,,,,,,,,,,,,暗红,,,,,,,,,,,,,,,,持续发汗,无,,有,,有,,,,,,,,,起疹,,,,,,,,,,,,,,,,,,,,,,
,竹叶石膏汤方证,渴,瘦,,,,,,,,,,,,,,红,干燥,少,,虚数,,,,,,,,,,,,,,,流汗,,,发热,,,,,,,,,,,,,,,,,,,,有,,,,干呕,,,,,,萎靡,,,
,消风散方证,渴,,,疹瘙痒，持久渗液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热,,,,,,,,,,不利,,,,,,,,,,,,,浮肿倾向,,,,,,,烦躁,,,
杨学昊,黄连证,,,,,,,,,,,,,,,,,干，坚老,黄，腻厚或薄,红或暗红,,,,,,腹泻（下痢）,,,,下痞,,,脘痛,,,,,,,,,,,,,失眠,,,,,,,,,,,,,,,,,呕恶,,,,,,烦躁，不清,,,
,阳热体质,,强健,潮红或红黑油光容,疮疖,,,,,,,,紧,红，暗红,多眵，充血,,,,薄黄或黄腻,红或暗红，坚苍,,,,,,,,,,,,,,,,,,,,,,,,,,失眠,,,,,喜凉恶热喜冷饮,,,,,,,,,,,,,,,,,,焦虑好动易烦躁,,,口干 口苦
,黄连解毒汤方证,,,红，出血,,,,,,按有痛感,,,,暗红,,黄连舌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,焦虑抑郁不安,,,
,黄连汤方证,,,,,,,,,,,硬，痛,,,,,,,厚腻,暗红,,,,,,腹泻,,,,,,,,,,出汗,,,,,有,,,,,,,,,,,,,,,,,,,,,,呕吐,,,,,,烦躁,,,
,小陷胸汤方证,,,,,,,,,痛,,,,,,,红,,黄，腻,,右寸脉滑,,,,,便秘,,,,,,,,,,,,,,,,,,,,,,,,,恶心,,,,,,,,咳嗽,,,,,,,,,,,,黄 粘,
,泻心汤方证,,,潮红,,,,,,,,硬,,,,黄连舌,,,,,脉实，有力数，滑,,,,,便秘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,烦躁,,,
,黄连阿胶汤方证,,,苍白,,,,,,硬,,痛,,,,口舌烂,红,,黄腻,,细数,,,,,,短,,,,,,,,,,,,,,,,,,,失眠,,,,,,,,,,,,热,,,,,,,,,,,烦躁,,,口咽干
,香莲丸方证,,,,,,,,,,,,痛，胀,,,,,,黄腻,暗红,,,,,,粘臭，有脓血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,左金丸方证,,,,,,,,,,,,痛，胀,,,,,,黄,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呕吐,,,,,,,,,
,干姜证,,,,,,,,,,,,,,,,,,腻，白滑或黑灰,淡,,,,,,,无臭，稀,,,,,无臭，稀,,,,,畏寒,喜热,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,精神萎靡,,无臭，稀,不干渴
,理中汤方证,,,,,,,,,胸满,,腹胀,,,,,,,白，厚或腻,淡,,,,,,溏稀,,,,,,,,,,,畏寒,喜温热,,,,,,,,,,,,,食欲不振,,,,,,,,,,,,有,,,,,,精神萎靡,,,不干渴，口水多
,桂枝人参汤方证,,,,,,,,,,,,,,,,,,暗或嫩红,淡,浮大,,,,,,,,,,,,,,,自汗,,,有,,有,,,,,,,,,痛,,,,,,,,,,,,,,,,,,,,,,
,大建中汤方证,,,,,,,,,,,,胀，阵发性剧痛,,,干姜舌,,,,,,,,,,腹泻,,,,,,清,,,,冷汗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,甘姜苓术汤方证,,,,,,,,,,冷，酸，痛,,,,,干姜舌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全身,,,,,,,,,,
王伟国,附子临床应用范围,,,,,,,挛,,,,满痛,,,,,,,白黄,,沉弱,,,,,,,,,音微,,,,,,多,畏,,,,,,,,,,,,,剧痛、肿胀,,,,,,,,冷,,,,,,,,,,,,,,
,阴寒体质,,偏胖,黄晦,干燥,,,松,,,,,,,无神,,暗,干枯,,,,,,,,稀溏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萎靡,,,
,附子证,,,,,,,,,,,,,,,,,,,,极细,,,,,,,,,,,,,,,,畏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萎靡,,,
,四逆汤方证,,,,,,,,,,,,,,,胖嫩,,,白滑,暗,细软沉伏,,,,,,,,,,,,,,,,畏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萎靡,,,
,四逆加人参汤方证,,,,,,,,,,,胀,,,,,,,干,,弱沉,,,,,溏兼,,,,,,,,,,,畏,,,,,,,,,,,,,,食欲不振,,,,,,,,,,,,,,,,,,萎靡,,,
王焯,真武汤方证,,,,,,,,,,,,,,,,,,,,微弱,,,,冷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萎,,,
,阳虚水饮证,,,黄,,,,,,,,痛胀,,,,胖,,,滑润,,,,,,重,少,,,,,,,,,,,,,,,,,,,,,,,,动不灵,,,,,,,,,易,,,,,,,,,,,,,
,附子泻心汤方证,,,,,,,,,,,胀痛,,,,,,,黄腻,,沉微弱,,,,,不通,,,,,,,,,,冷,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,半夏证,,,黄或灰暗,,,,,,,,,,,,,,,滑或腻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,易,,,,,,过敏,,,
,小半夏汤方证,,,,,,,,,,,,,,,,白,,滑腻,厚疴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,易,,,,,,,,,
马帅奇,温胆汤方证,,,,,,,,,,,,,,,,,,滑腻,,,,,,,,,,,心慌,,,,,,,,,,,,,,,,失眠,有,,,,,,,,,,,,,,,,干呕,,,,,,易惊、不安,,,苦、粘
,大半夏汤方证,,,枯萎,,,,,,痞硬,,,,,,,淡红,,薄 或 厚腻,,,,,,,,干燥,,,,,,,,,,,,,,,,,,,,,,,,朝食暮吐、反胃,,,,,,,,,,,,干呕,,,,,,,,,
,半夏厚补汤方证,喉有异物感,,,,,,,,,,,,,,,,,白、厚腻,,,,,,,,,,,胸闷,,,,,,,,,,,,,,,,,,,,,腹胀、减低,,,,,,,,有,,,,恶心呕吐,,,,,,刺激,,有,粘、腻
,半夏白术天麻汤方证,重压感,,,,,,松软,,,,鸣胀,,,,大,淡红,,腻,,,,,,,偏溏,,,,,,,,,,易汗,,,,,,,,,,,,,,,,,,,,,眩晕、头痛,,,,,浮肿,,,,,,,,,,
,半夏泻心汤方证,,,,,,,,,满闷、轻疼,,鸣,,,,,,,薄腻 或 黄腻,,,,,,,腹泻,,,,,,,,,,,,,内热,,,,,,,失眠,有,,,,,,,,,,,,,,,,恶心呕吐,,,,,,烦躁,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
